Name,trueName,x,y,z,Axis.X,Axis.Y,Axis.Z,RefDirection.X,RefDirection.Y,RefDirection.Z
CORNER-S/1,CORNER-S/D,158.75,18.00,1429.25,0.00,-1.00,0.00,0.00,0.00,-1.00
CORNER-S/2,CORNER-S/C,18.00,158.75,1429.25,-1.00,0.00,0.00,0.00,0.00,-1.00
CORNER-S/3,CORNER-S/A,299.50,158.75,1429.25,1.00,0.00,0.00,0.00,0.00,-1.00
CORNER-S/4,CORNER-S/B,158.75,299.50,1429.25,0.00,1.00,0.00,0.00,0.00,-1.00
